SAMPLE,Recvd Wt.,Au,Ag,Al,As,B,Ba,Be,Bi,Ca,Cd,Ce,Co,Cr,Cs,Cu,Fe,Ga,Ge,Hf,Hg,In,K,La,Li,Mg,Mn,Mo,Na,Nb,Ni,P,Pb,Rb,Re,S,Sb,Sc,Se,Sn,Sr,Ta,Te,Th,Ti,Tl,U,V,W,Y,Zn,Zr,foldername,filename,Au_2
PN0000996061,0.18,0.013,0.07,1.54,64.9,<10,50,0.43,0.06,14.15,0.16,13.80,30.8,36,0.68,96.9,4.16,5.38,0.05,0.05,0.19,0.040,0.05,7.3,11.4,0.75,1115,0.39,<0.01,0.11,39.1,430,3.0,4.2,<0.001,0.01,3.73,11.6,0.5,0.2,58.7,<0.01,0.03,0.6,0.006,0.04,0.29,103,0.07,22.1,47,1.4,Soil Certificates,TU22075092.csv,
PN0000996062,0.17,0.010,0.05,3.03,40.0,<10,30,0.40,0.03,0.98,0.05,17.75,35.7,113,0.20,151.0,6.59,13.20,0.07,0.05,0.13,0.032,0.02,8.0,17.0,1.70,907,0.25,<0.01,<0.05,52.0,220,1.5,1.1,<0.001,<0.01,2.40,11.2,0.3,0.2,26.1,<0.01,0.01,1.1,0.005,<0.02,0.23,150,<0.05,20.4,70,1.4,Soil Certificates,TU22075092.csv,
PN0000996063,0.16,0.005,0.05,1.62,85.7,<10,40,0.49,0.05,10.10,0.11,18.65,24.6,54,0.86,85.9,3.72,5.65,0.05,0.11,0.18,0.027,0.05,9.2,11.9,1.07,694,0.37,0.01,0.13,57.1,500,2.7,3.9,<0.001,0.01,6.40,6.7,0.3,0.3,104.0,<0.01,0.04,0.9,0.009,0.05,0.38,70,0.06,12.35,48,2.9,Soil Certificates,TU22075092.csv,
PN0000996064,0.25,0.005,0.03,3.15,4.5,<10,100,0.54,0.03,3.23,0.05,19.60,13.9,19,1.15,53.3,3.07,9.14,0.06,0.14,0.15,0.021,0.06,8.8,12.2,0.83,437,0.29,0.08,0.12,29.9,610,2.0,2.4,<0.001,<0.01,0.74,7.0,<0.2,0.3,174.5,<0.01,0.01,0.8,0.071,0.03,0.16,67,<0.05,11.50,40,5.2,Soil Certificates,TU22075092.csv,
PN0000996065,0.18,0.003,0.02,1.67,22.5,<10,100,0.30,0.01,17.40,0.11,12.05,36.0,395,1.32,93.1,3.10,5.32,0.06,0.02,0.04,0.031,0.10,8.5,15.4,2.04,856,0.12,<0.01,0.11,239,210,1.3,4.3,<0.001,<0.01,2.68,8.6,0.3,<0.2,356,<0.01,0.01,0.6,0.081,0.09,0.09,81,0.06,3.71,27,0.6,Soil Certificates,TU22075092.csv,
PN0000996066,0.20,0.005,0.13,1.18,101.5,<10,60,0.49,0.12,7.41,0.40,22.4,41.7,43,1.82,53.4,5.34,3.53,0.07,0.02,0.12,0.038,0.15,9.6,13.0,0.76,1890,1.05,<0.01,0.19,67.3,480,8.2,11.2,<0.001,0.01,8.24,6.8,0.7,0.3,77.5,<0.01,0.05,2.0,0.013,0.11,0.61,43,0.14,6.90,95,0.7,Soil Certificates,TU22075092.csv,
PN0000996067,0.17,0.023,0.24,2.35,37.4,<10,110,0.56,0.09,6.31,0.23,33.6,32.4,359,3.15,89.7,5.02,9.55,0.09,0.05,0.12,0.045,0.12,18.6,15.0,1.93,951,0.45,<0.01,0.21,169.0,430,13.8,8.6,<0.001,0.01,6.28,8.9,0.3,0.3,76.3,<0.01,0.04,1.7,0.026,0.12,0.24,119,0.09,8.00,82,1.2,Soil Certificates,TU22075092.csv,
PN0000996068,0.18,0.141,4.07,1.58,43.4,<10,100,0.64,0.34,0.35,1.58,35.0,14.4,34,2.52,223,4.26,5.01,0.08,0.05,0.61,0.069,0.17,18.6,16.8,0.59,864,0.91,0.01,0.29,34.8,230,202,12.4,<0.001,0.01,35.5,6.1,0.9,0.5,26.1,<0.01,0.14,4.3,0.019,0.31,0.53,33,0.13,14.25,812,2.1,Soil Certificates,TU22075092.csv,
PN0000996069,0.15,0.015,0.09,1.34,131.5,10,80,0.55,0.14,5.17,0.20,21.7,27.5,98,1.40,56.9,3.44,3.79,0.05,0.03,0.08,0.028,0.20,10.4,13.9,0.94,786,0.60,0.01,0.40,134.0,510,11.3,12.9,<0.001,0.02,36.6,4.2,0.6,0.3,83.2,<0.01,0.13,1.1,0.012,0.11,0.33,35,0.20,7.19,69,1.0,Soil Certificates,TU22075092.csv,
PN0000996070,0.21,0.010,0.03,1.28,115.0,<10,40,0.29,0.03,14.65,0.09,4.45,50.6,398,0.80,97.9,3.59,4.36,0.05,0.03,0.12,0.026,0.04,1.8,16.8,3.33,725,0.36,0.01,0.06,378,480,3.5,1.9,<0.001,0.02,18.80,5.3,0.5,<0.2,285,<0.01,0.02,0.3,<0.005,0.02,0.24,60,0.20,2.42,44,3.0,Soil Certificates,TU22075092.csv,
PN0000996071,0.19,0.078,0.38,2.14,38.6,<10,90,0.48,0.23,0.42,0.82,28.3,18.7,27,1.21,71.2,4.39,5.88,0.07,0.06,0.37,0.053,0.10,15.8,18.4,1.01,1600,1.18,<0.01,0.18,16.2,300,56.4,7.8,0.001,<0.01,3.40,6.8,0.4,0.5,30.8,<0.01,0.10,4.2,0.017,0.12,0.58,38,0.08,10.45,227,2.1,Soil Certificates,TU22075092.csv,
PN0000996072,0.20,0.001,0.06,1.34,46.4,<10,70,0.50,0.17,0.41,0.11,27.0,10.8,15,1.26,25.6,2.48,3.95,0.05,0.07,0.04,0.020,0.10,13.3,11.2,0.61,433,0.50,0.01,0.34,11.7,190,12.2,8.3,<0.001,0.01,1.66,3.3,0.3,0.3,27.5,<0.01,0.03,3.3,0.011,0.08,0.36,24,0.18,7.45,49,3.3,Soil Certificates,TU22075092.csv,
PN0000996073,0.20,0.009,0.11,2.18,26.4,<10,90,0.62,0.18,0.42,0.17,30.9,11.8,19,1.34,45.7,3.61,6.36,0.07,0.06,0.06,0.029,0.12,16.2,19.1,1.08,825,0.72,<0.01,0.19,12.1,250,38.0,8.9,<0.001,<0.01,1.75,5.8,0.2,0.4,30.3,<0.01,0.04,4.4,0.016,0.09,0.43,37,0.13,9.27,75,2.4,Soil Certificates,TU22075092.csv,
PN0000996074,0.18,0.007,0.16,1.45,25.1,<10,90,0.43,0.15,1.07,0.43,21.8,16.0,14,1.60,39.8,3.80,3.94,0.05,0.03,0.11,0.031,0.15,10.2,15.3,0.76,1130,1.42,0.01,0.28,15.0,400,19.9,11.2,0.001,0.04,2.49,5.0,<0.2,0.3,33.2,<0.01,0.13,2.0,0.016,0.13,0.36,25,0.09,7.13,100,1.4,Soil Certificates,TU22075092.csv,
PN0000996075,0.21,0.082,0.47,2.07,166.5,<10,40,0.24,0.12,0.16,0.78,10.45,15.1,23,0.79,89.7,4.30,4.34,<0.05,0.10,1.10,0.156,0.04,5.6,25.1,1.56,721,1.06,<0.01,0.09,10.4,330,98.3,2.6,<0.001,0.02,29.4,5.4,1.5,<0.2,34.7,<0.01,0.65,1.3,<0.005,0.07,0.37,44,0.05,3.36,781,2.6,Soil Certificates,TU22075092.csv,
PN0000996076,0.19,0.035,0.23,1.20,54.4,<10,80,0.33,0.91,0.40,0.11,20.0,8.5,13,0.71,65.2,3.60,3.65,0.05,0.04,0.13,0.027,0.07,11.2,11.0,0.40,369,1.06,0.01,0.22,8.2,320,43.4,4.6,<0.001,0.03,4.18,3.7,2.4,0.3,31.8,<0.01,6.81,2.0,0.005,0.07,0.39,25,0.09,7.72,44,1.2,Soil Certificates,TU22075092.csv,
PN0000996077,0.19,0.071,1.14,1.34,84.8,<10,40,0.18,0.06,11.05,0.26,7.47,11.8,16,0.56,46.4,3.40,3.32,<0.05,0.05,0.28,0.024,0.05,3.7,16.6,0.74,454,0.42,<0.01,0.11,19.5,400,46.1,3.2,<0.001,0.01,12.65,4.8,0.7,<0.2,82.7,<0.01,0.05,0.7,<0.005,0.06,0.22,19,0.05,4.12,143,1.5,Soil Certificates,TU22075092.csv,
PN0000996078,0.20,0.005,0.12,2.13,87.0,10,70,0.55,0.11,6.90,0.26,20.4,31.2,342,2.97,64.4,4.71,6.38,0.07,0.04,0.09,0.035,0.22,9.4,21.1,2.29,1110,0.66,0.01,0.23,192.0,380,8.0,12.8,<0.001,0.02,10.55,9.6,0.6,0.3,153.5,<0.01,0.05,1.5,0.016,0.09,0.32,84,0.10,7.00,76,1.5,Soil Certificates,TU22075092.csv,
PN0000996079,0.21,0.005,0.08,1.04,150.0,<10,40,0.45,0.10,10.00,0.29,11.75,29.6,68,1.36,68.2,4.28,3.10,0.05,0.04,0.14,0.031,0.09,5.5,11.6,1.20,1340,0.82,<0.01,0.17,89.4,390,7.0,6.3,<0.001,0.01,19.25,6.5,0.5,0.2,145.5,<0.01,0.04,1.0,0.008,0.05,0.30,54,0.16,4.44,79,1.8,Soil Certificates,TU22075092.csv,
PN0000996080,0.20,0.051,0.06,2.33,21.5,<10,160,0.38,0.08,11.10,0.18,12.65,31.4,472,1.60,76.1,4.15,7.12,0.06,0.05,0.12,0.030,0.09,6.2,15.0,3.16,714,0.31,<0.01,0.16,224,370,4.9,6.6,<0.001,0.02,3.03,9.5,0.5,0.2,231,<0.01,0.04,0.9,0.025,0.11,0.27,100,0.05,5.20,53,1.3,Soil Certificates,TU22075092.csv,
PN0000996081,0.20,0.025,0.10,2.82,14.0,<10,70,0.51,0.15,2.97,0.26,21.4,35.1,51,1.12,195.0,6.60,11.05,0.08,0.07,0.10,0.053,0.12,10.0,14.8,1.56,1210,0.46,0.01,0.21,59.2,410,7.6,7.3,0.001,0.01,2.08,14.7,0.4,0.5,44.7,<0.01,0.06,1.6,0.031,0.08,0.31,152,0.06,20.5,84,1.9,Soil Certificates,TU22075092.csv,
PN0000996082,0.18,0.032,0.13,2.92,8.5,10,70,0.52,0.09,1.00,0.22,16.55,36.3,62,0.51,175.0,8.63,15.65,0.09,0.09,0.28,0.062,0.04,8.0,9.9,1.28,1195,0.48,0.01,0.12,57.2,340,4.5,2.0,<0.001,0.01,2.39,12.3,0.5,0.6,42.2,<0.01,0.03,1.2,0.062,0.04,0.33,197,<0.05,21.3,112,1.7,Soil Certificates,TU22075092.csv,
PN0000996083,0.19,0.009,0.06,1.76,58.3,<10,40,0.38,0.08,10.50,0.22,15.80,33.4,23,1.12,125.5,5.01,7.03,0.07,0.05,0.11,0.062,0.06,7.6,10.6,0.80,1190,0.44,<0.01,0.10,40.5,410,4.0,4.4,<0.001,0.01,3.76,18.4,0.3,0.3,43.5,<0.01,0.03,0.7,0.011,0.05,0.21,138,0.08,24.6,54,1.2,Soil Certificates,TU22075092.csv,
PN0000996084,0.23,0.007,0.09,2.20,32.1,<10,50,0.48,0.10,5.92,0.16,17.30,35.6,27,1.09,118.5,5.73,9.14,0.07,0.05,0.11,0.045,0.08,8.8,14.2,1.24,1065,0.44,0.01,0.23,37.2,330,5.7,6.3,<0.001,0.01,2.66,12.7,0.4,0.4,53.2,<0.01,0.03,1.4,0.043,0.06,0.28,134,0.05,17.45,73,1.2,Soil Certificates,TU22075092.csv,
PN0000996085,0.19,0.020,0.07,2.46,182.5,<10,50,0.40,0.12,8.62,0.37,20.7,38.6,37,2.39,174.0,6.28,10.15,0.08,0.07,0.10,0.055,0.08,9.0,28.4,1.30,1640,0.38,<0.01,0.08,44.5,590,5.9,6.6,<0.001,0.01,1.92,12.5,0.4,0.4,54.1,<0.01,0.06,1.0,0.011,0.05,0.20,157,0.16,18.35,67,1.5,Soil Certificates,TU22075092.csv,
PN0000996086,0.22,0.020,0.06,2.22,127.5,<10,110,0.42,0.07,8.74,0.16,27.2,23.6,18,1.46,103.0,5.46,8.20,0.07,0.06,0.08,0.034,0.09,12.0,18.2,1.04,1165,0.38,0.01,0.12,21.9,570,3.9,5.9,<0.001,0.01,1.36,9.0,0.3,0.3,51.8,<0.01,0.03,1.1,0.020,0.04,0.19,131,0.12,13.65,69,1.7,Soil Certificates,TU22075092.csv,
PN0000996087,0.18,0.030,0.11,3.17,103.0,<10,60,0.57,0.06,8.38,0.14,40.6,53.7,31,1.14,165.0,7.84,13.85,0.11,0.08,0.39,0.097,0.04,13.1,22.2,1.60,2200,0.37,0.01,0.05,44.5,370,3.3,2.8,0.001,0.01,2.39,26.2,0.4,0.5,58.1,0.01,0.02,1.1,0.021,0.03,0.18,220,<0.05,37.6,74,1.4,Soil Certificates,TU22075092.csv,
PN0000996088,0.19,0.013,0.13,3.18,88.9,<10,50,0.50,0.17,2.65,0.22,23.3,49.9,59,1.66,164.5,6.87,12.80,0.09,0.09,0.16,0.056,0.09,10.0,24.5,1.97,1370,0.48,0.01,0.23,63.6,380,7.7,6.9,<0.001,0.01,4.54,16.6,0.3,0.5,54.5,<0.01,0.05,1.6,0.037,0.06,0.25,174,0.05,19.40,88,2.1,Soil Certificates,TU22075092.csv,
PN0000996089,0.20,0.005,0.03,1.64,157.5,<10,40,0.24,0.07,12.75,0.17,9.80,33.6,95,0.58,107.5,3.77,4.12,0.05,0.05,0.06,0.023,0.05,4.6,14.8,1.10,816,0.34,<0.01,0.13,66.9,270,3.5,3.3,<0.001,0.01,12.95,8.9,0.3,0.2,55.2,<0.01,0.03,0.7,0.008,0.03,0.14,78,0.07,11.75,45,1.6,Soil Certificates,TU22075092.csv,
PN0000996090,0.18,0.009,0.07,2.74,164.0,<10,60,0.40,0.14,4.75,0.29,14.55,65.5,126,1.10,165.5,5.71,6.93,0.07,0.08,0.13,0.031,0.08,6.1,19.0,1.69,1410,0.33,0.01,0.09,92.5,290,7.9,6.6,<0.001,<0.01,24.0,16.5,0.3,0.3,50.8,<0.01,0.05,1.3,0.031,0.10,0.30,117,0.08,13.85,71,2.2,Soil Certificates,TU22075092.csv,
PN0000996091,0.17,0.014,0.10,2.78,45.5,10,70,0.48,0.10,5.46,0.21,17.60,36.4,112,0.86,132.0,5.10,8.11,0.06,0.10,0.10,0.029,0.11,8.8,18.5,1.74,894,0.37,0.01,0.24,83.5,380,5.8,6.4,<0.001,0.02,17.00,10.4,0.5,0.4,59.5,<0.01,0.04,1.4,0.025,0.07,0.28,100,0.06,13.00,66,2.6,Soil Certificates,TU22075092.csv,
PN0000996092,0.18,0.006,0.16,2.13,10.4,<10,110,0.23,0.02,16.80,0.12,11.70,32.7,665,0.44,97.4,3.16,5.97,0.07,0.04,0.04,0.020,0.04,6.8,18.8,3.59,562,0.09,0.01,0.22,327,380,2.0,1.8,<0.001,0.03,1.74,4.4,0.5,<0.2,378,<0.01,0.03,0.3,0.036,0.06,0.23,64,<0.05,2.56,31,1.1,Soil Certificates,TU22075092.csv,
PN0000996093,0.20,0.007,0.11,0.98,92.3,<10,70,0.38,0.14,8.29,0.41,14.85,34.7,61,1.40,99.4,6.20,3.02,0.06,0.03,0.19,0.031,0.13,6.5,9.6,0.76,1440,1.04,0.01,0.20,74.6,280,11.4,8.9,<0.001,0.02,23.3,8.7,0.8,0.2,72.7,<0.01,0.05,1.5,0.012,0.15,0.70,54,0.12,5.48,112,0.8,Soil Certificates,TU22075092.csv,
PN0000996094,0.20,0.006,0.11,2.31,81.8,<10,30,0.26,0.08,11.40,0.34,9.39,26.6,57,0.50,64.4,6.37,8.87,0.06,0.05,0.11,0.036,0.08,4.4,19.1,1.40,1090,0.67,<0.01,0.13,51.0,470,5.4,4.6,0.001,0.01,6.60,12.0,0.4,<0.2,106.5,<0.01,0.05,1.1,0.007,0.04,0.36,123,0.07,4.51,100,1.7,Soil Certificates,TU22075092.csv,
PN0000996095,0.22,0.006,0.15,1.85,119.0,<10,50,0.46,0.13,5.81,0.31,17.65,33.6,46,1.47,83.0,5.53,5.56,0.07,0.07,0.09,0.034,0.13,8.2,22.2,1.40,1430,0.74,0.01,0.26,70.7,430,9.2,10.0,<0.001,0.01,35.9,9.6,0.7,0.3,101.5,<0.01,0.05,1.9,0.015,0.07,0.32,70,0.25,5.23,98,2.3,Soil Certificates,TU22075092.csv,
PN0000996096,0.21,0.016,0.09,1.96,323,10,110,0.71,0.13,6.41,0.24,21.7,38.4,394,2.22,67.0,4.61,6.59,0.08,0.04,0.06,0.037,0.16,10.0,24.6,2.08,766,0.68,0.01,0.36,326,420,8.7,12.8,<0.001,0.02,36.5,9.3,0.5,0.3,105.0,<0.01,0.04,1.5,0.016,0.10,0.34,81,0.45,6.41,78,1.7,Soil Certificates,TU22075092.csv,
PN0000996097,0.18,0.013,0.07,1.88,142.0,10,90,0.68,0.13,5.55,0.23,24.3,41.0,204,1.68,70.3,4.78,5.61,0.08,0.05,0.12,0.038,0.17,11.4,18.9,1.30,925,0.62,0.01,0.24,208,410,9.1,13.4,<0.001,0.01,29.2,7.2,0.5,0.4,83.2,<0.01,0.06,1.3,0.014,0.10,0.36,58,0.70,7.23,68,1.3,Soil Certificates,TU22075092.csv,
PN0000996098,0.24,0.007,0.10,1.70,66.0,<10,70,0.61,0.14,1.38,0.16,28.6,15.6,21,1.50,58.3,3.59,4.44,0.06,0.04,0.14,0.027,0.13,13.6,17.4,0.84,924,0.64,<0.01,0.24,15.0,240,15.5,10.0,<0.001,0.01,4.83,4.3,0.4,0.3,33.8,<0.01,0.07,2.2,0.014,0.08,0.37,30,0.27,8.78,75,1.4,Soil Certificates,TU22075092.csv,
PN0000996099,0.20,0.001,0.07,1.61,42.4,<10,80,0.49,0.21,0.37,0.13,27.5,8.5,17,1.20,21.3,2.61,4.63,0.05,0.06,0.06,0.022,0.11,15.0,15.2,0.81,679,0.55,<0.01,0.38,11.6,320,19.9,7.1,<0.001,0.01,1.69,3.5,0.4,0.4,25.8,<0.01,0.04,3.0,0.011,0.08,0.50,27,0.14,8.15,48,2.0,Soil Certificates,TU22075092.csv,
PN0000996100,0.18,0.040,0.11,1.62,14.3,<10,70,0.28,0.21,0.43,0.10,24.3,11.9,12,0.53,185.5,3.42,4.12,0.06,0.07,0.10,0.021,0.06,15.0,10.4,0.62,1035,0.75,<0.01,0.18,7.4,330,32.2,3.6,<0.001,0.01,4.55,3.7,0.4,0.2,26.5,<0.01,0.05,2.6,0.005,0.04,0.65,19,0.08,11.50,58,2.1,Soil Certificates,TU22075092.csv,
PN0000996101,0.20,0.002,0.06,2.39,44.5,10,70,0.44,0.06,8.44,0.11,11.95,41.8,654,1.49,55.0,4.46,7.64,0.05,0.04,0.03,0.029,0.11,5.9,18.4,3.75,674,0.27,0.01,0.20,383,410,3.8,7.5,<0.001,0.01,4.87,10.5,0.3,0.2,244,<0.01,0.03,1.0,0.012,0.05,0.31,111,0.10,4.65,60,1.2,Soil Certificates,TU22075083.csv,
PN0000996102,0.20,0.011,0.13,1.12,311,<10,60,0.41,0.11,9.17,0.39,14.75,25.8,65,1.47,57.7,3.98,2.73,<0.05,0.03,0.14,0.026,0.13,7.3,8.5,0.95,1110,0.67,0.01,0.24,116.5,470,8.4,8.0,<0.001,0.02,21.9,3.7,0.6,0.2,154.5,<0.01,0.05,0.8,0.009,0.06,0.33,28,0.28,5.54,73,1.2,Soil Certificates,TU22075083.csv,
PN0000996103,0.23,0.051,0.83,2.21,42.6,<10,50,0.31,0.10,7.67,0.72,13.60,29.7,148,0.97,94.3,4.55,5.94,<0.05,0.04,0.11,0.038,0.11,6.6,25.5,1.94,714,0.43,0.01,0.26,119.5,390,47.3,7.3,<0.001,0.02,11.95,7.0,0.6,0.2,106.0,<0.01,0.07,1.0,0.010,0.09,0.29,77,0.10,4.57,281,1.5,Soil Certificates,TU22075083.csv,
PN0000996104,0.20,0.008,0.20,1.65,74.4,<10,80,0.36,0.14,8.10,0.36,17.10,26.5,53,1.18,81.6,4.56,4.48,0.05,0.05,0.13,0.026,0.14,8.1,15.3,1.11,1065,0.94,0.01,0.28,58.5,430,8.9,9.6,<0.001,0.02,18.00,7.4,0.5,0.3,93.5,<0.01,0.06,1.9,0.014,0.13,0.45,57,0.08,5.45,105,1.7,Soil Certificates,TU22075083.csv,
PN0000996105,0.19,0.005,0.03,3.19,23.7,<10,170,0.45,0.02,10.55,0.27,23.1,49.8,657,4.33,67.6,5.70,9.61,0.13,0.03,0.05,0.035,0.18,11.3,13.6,4.83,1420,0.38,<0.01,0.11,433,220,1.8,9.9,<0.001,<0.01,1.79,12.9,0.2,0.3,332,<0.01,0.05,0.7,0.094,0.21,0.23,141,<0.05,5.58,85,0.9,Soil Certificates,TU22075083.csv,
PN0000996106,0.21,0.005,0.07,2.89,12.7,<10,60,0.36,0.10,5.80,0.19,19.75,43.7,555,1.00,117.0,5.08,8.87,0.06,0.04,0.06,0.032,0.13,10.6,18.9,2.96,821,0.28,0.01,0.32,280,350,5.8,8.1,<0.001,0.01,2.23,9.3,0.2,0.3,75.7,<0.01,0.05,1.6,0.104,0.08,0.23,116,0.05,8.34,62,1.4,Soil Certificates,TU22075083.csv,
PN0000996107,0.25,0.015,0.12,2.49,32.7,10,40,0.33,0.05,0.92,0.11,10.85,37.0,103,0.36,204,6.54,10.60,0.06,0.07,0.15,0.023,0.03,5.1,9.1,1.26,829,0.22,0.01,0.08,81.9,200,2.4,1.4,<0.001,<0.01,2.27,10.1,0.2,0.3,30.7,<0.01,0.04,0.9,0.091,0.03,0.16,170,0.05,15.15,66,2.1,Soil Certificates,TU22075083.csv,
PN0000996108,0.17,0.012,0.09,2.94,47.4,<10,50,0.32,0.09,0.73,0.12,11.80,46.0,177,0.75,181.5,5.45,6.84,0.05,0.07,0.15,0.021,0.05,6.9,14.8,1.87,790,0.27,0.01,0.10,98.0,190,4.1,4.0,<0.001,<0.01,4.84,11.9,0.3,0.3,25.0,<0.01,0.04,1.7,0.045,0.04,0.26,115,0.05,19.30,63,2.0,Soil Certificates,TU22075083.csv,
PN0000996109,0.21,0.016,0.15,2.96,21.3,<10,50,0.42,0.07,0.88,0.09,10.60,51.1,36,0.42,219,7.77,11.85,0.06,0.09,0.14,0.030,0.04,5.5,14.6,1.46,1545,0.54,0.01,0.09,56.9,350,3.2,2.2,<0.001,<0.01,2.34,13.9,0.3,0.4,37.8,<0.01,0.03,1.5,0.188,0.03,0.28,186,<0.05,15.95,85,2.6,Soil Certificates,TU22075083.csv,
PN0000996110,0.21,0.016,0.15,2.94,29.8,10,60,0.45,0.03,0.83,0.29,15.80,71.5,39,0.48,301,8.07,12.80,0.07,0.08,0.37,0.036,0.02,4.4,15.4,1.49,2510,0.52,0.01,0.05,63.0,320,2.3,1.1,<0.001,<0.01,2.35,13.6,0.4,0.4,29.3,<0.01,0.03,0.6,0.144,0.03,0.18,228,<0.05,16.50,83,2.0,Soil Certificates,TU22075083.csv,
PN0000996111,0.20,0.022,0.19,2.74,65.8,10,80,0.52,0.12,5.50,0.49,19.40,30.5,89,2.53,129.0,6.97,8.28,0.06,0.05,0.18,0.046,0.14,9.5,16.6,1.99,1370,0.75,0.01,0.23,69.1,490,7.3,9.7,<0.001,0.02,1.49,14.6,0.6,0.4,83.5,<0.01,0.21,1.5,0.022,0.11,0.37,134,<0.05,17.95,102,1.4,Soil Certificates,TU22075083.csv,
PN0000996112,0.25,0.009,0.12,2.88,44.0,<10,60,0.55,0.19,0.72,0.39,18.70,35.5,50,1.24,168.5,7.13,13.30,0.07,0.09,0.13,0.047,0.11,9.1,23.5,1.62,1290,0.52,0.01,0.18,59.8,470,13.8,6.8,<0.001,0.01,1.99,14.7,0.4,0.7,37.4,<0.01,0.12,1.9,0.089,0.06,0.29,182,<0.05,16.35,104,2.8,Soil Certificates,TU22075083.csv,
PN0000996113,0.21,0.021,0.10,2.70,21.7,<10,110,0.60,0.04,0.86,0.11,14.50,37.3,9,2.88,91.5,9.59,17.10,0.09,0.06,0.18,0.088,0.05,6.8,13.0,1.14,1580,0.49,0.01,0.06,28.2,310,3.1,4.4,<0.001,<0.01,1.84,23.1,0.4,0.3,40.8,<0.01,0.03,1.0,0.082,0.08,0.21,249,<0.05,23.5,73,1.4,Soil Certificates,TU22075083.csv,
PN0000996114,0.25,0.012,0.07,2.52,30.6,<10,90,0.47,0.09,0.49,0.22,17.90,30.3,22,3.26,77.2,8.30,14.40,0.08,0.05,0.09,0.067,0.18,9.4,14.6,1.16,1095,0.51,0.01,0.09,26.4,370,5.1,11.9,<0.001,<0.01,1.34,19.1,0.3,0.4,29.8,<0.01,0.06,2.1,0.068,0.13,0.32,225,<0.05,17.70,83,2.1,Soil Certificates,TU22075083.csv,
PN0000996115,0.19,0.008,0.09,1.93,18.2,<10,190,0.77,0.24,0.49,0.37,44.8,20.8,60,1.04,62.5,4.29,6.78,0.07,0.13,0.09,0.033,0.16,25.4,12.0,0.69,856,0.62,0.02,0.53,45.7,400,14.8,11.1,<0.001,0.02,0.71,8.3,0.3,0.7,41.8,<0.01,0.10,4.2,0.067,0.10,0.45,101,0.07,16.95,72,6.6,Soil Certificates,TU22075083.csv,
PN0000996116,0.16,0.015,0.08,2.57,62.5,<10,190,0.70,0.21,0.60,0.31,31.9,29.1,74,2.29,147.5,7.18,8.94,0.09,0.07,0.13,0.042,0.26,17.8,15.8,1.09,1045,0.82,0.01,0.47,65.3,550,11.0,15.5,<0.001,0.01,1.24,12.2,0.6,0.7,43.3,<0.01,0.15,3.5,0.067,0.14,0.57,142,0.16,14.90,104,3.6,Soil Certificates,TU22075083.csv,
PN0000996117,0.22,0.006,0.03,2.30,15.8,<10,50,0.28,0.06,0.65,0.07,7.10,29.6,21,0.36,209,4.56,4.57,<0.05,0.05,0.09,0.011,0.03,4.6,19.4,1.38,599,0.22,0.01,0.07,74.6,160,2.7,1.9,<0.001,<0.01,1.40,6.8,0.3,0.2,25.8,<0.01,0.02,1.0,0.080,0.02,0.18,81,<0.05,7.00,40,1.8,Soil Certificates,TU22075083.csv,
PN0000996118,0.17,0.047,0.09,2.31,14.2,<10,130,0.57,0.18,0.73,0.15,21.3,27.3,84,0.88,199.0,4.41,6.10,0.05,0.08,0.12,0.024,0.09,13.8,19.5,1.17,595,0.51,<0.01,0.52,78.2,260,8.8,6.4,<0.001,0.01,1.04,8.4,0.3,0.5,40.7,<0.01,0.05,2.8,0.045,0.06,0.40,96,0.11,13.15,44,3.4,Soil Certificates,TU22075083.csv,
PN0000996119,0.20,0.020,0.11,2.38,11.8,<10,40,0.37,0.08,0.67,0.14,8.24,37.6,139,0.31,230,5.07,6.17,0.05,0.07,0.34,0.013,0.03,4.2,18.6,1.64,810,0.29,<0.01,0.10,128.0,280,4.2,1.9,<0.001,<0.01,2.62,8.2,0.3,0.3,25.8,<0.01,0.05,0.9,0.102,0.02,0.22,110,<0.05,9.98,56,2.1,Soil Certificates,TU22075083.csv,
PN0000996120,0.21,0.005,0.10,2.52,9.2,<10,70,0.48,0.13,0.60,0.19,18.00,34.2,177,0.91,172.5,4.86,7.75,0.05,0.12,0.09,0.021,0.07,8.8,21.1,1.61,732,0.39,0.01,0.21,112.0,270,7.0,5.5,<0.001,<0.01,1.88,9.2,0.2,0.5,29.3,<0.01,0.05,2.4,0.185,0.06,0.40,113,<0.05,10.45,72,4.2,Soil Certificates,TU22075083.csv,
PN0000996121,0.20,0.015,0.28,1.44,78.5,<10,80,0.43,0.15,7.33,0.63,17.90,26.8,50,0.74,83.2,5.94,4.17,0.05,0.04,0.31,0.027,0.21,8.1,11.2,0.79,2710,1.62,0.01,0.26,68.9,600,13.7,10.3,<0.001,0.08,7.33,4.9,1.0,0.3,97.6,<0.01,0.08,1.7,0.012,0.10,0.66,41,0.05,9.12,125,1.1,Soil Certificates,TU22075083.csv,
